gene	p_val	avg_logFC	avg_FC	pct.1	pct.2	p_val_adj	cluster		
MT-ND3	0	0.593689469	1.509101109	1	0.982	0	0		
MT-ATP6	0	0.535734057	1.449679577	1	1	0	0		
MT-ND5	0	0.512036932	1.426062223	1	0.921	0	0		
MT-CYB	0	0.50894411	1.423008333	1	0.998	0	0		
MT-CO3	0	0.484208246	1.39881798	1	1	0	0		
MT-CO2	0	0.482004196	1.396682594	1	1	0	0		
MT-ND2	0	0.462812099	1.378225637	1	0.995	0	0		
MT-ND1	0	0.457317755	1.3729868	1	0.999	0	0		
MT-CO1	0	0.371540503	1.293733536	1	1	0	0		
MT-ND4	4.25E-281	0.306313656	1.236544068	1	1	8.79E-277	0		
MT-ND4L	5.54E-198	0.374220986	1.296139487	0.965	0.68	1.15E-193	0		
MT-ND6	1.12E-35	0.29138753	1.223816733	0.496	0.458	2.33E-31	0		
MTRNR2L12	4.57E-27	0.272077723	1.207545644	0.413	0.377	9.47E-23	0		
LAMB3	0	0.757853063	1.690972342	0.819	0.284	0	1	Laminin subunit beta-3	"Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components."
IGFBP3	0	0.731186725	1.660004009	0.465	0.107	0	1	Insulin-like growth factor-binding protein 3	IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors. Also exhibits IGF-independent antiproliferative and apoptotic effects mediated by its receptor TMEM219/IGFBP-3R.
SOX4	0	0.711983996	1.638055225	0.823	0.306	0	1	Transcription factor SOX-4	Transcriptional activator that binds with high affinity to the T-cell enhancer motif 5'-AACAAAG-3' motif.
AHNAK2	0	0.710799503	1.636710887	0.732	0.186	0	1	Protein AHNAK2	regulation of RNA splicing
MALAT1	0	0.708877173	1.634531492	1	1	0	1	metastasis associated lung adenocarcinoma transcript 1	"infrequently spliced non-coding RNA, which is highly conserved amongst mammals and highly expressed in the nucleus."
P4HA1	0	0.698773797	1.623124649	0.807	0.245	0	1		
FAM3C	0	0.663216573	1.58360944	0.943	0.738	0	1		
NDRG1	0	0.638359052	1.556557694	0.792	0.379	0	1		
